YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2003/07|MAF|IN|35
2003/07|MAF|M|19
2003/07|NIQ|D|44
2003/07|NIQ|IN|210
2003/07|NIQ|M|41
2003/07|NIQ|O|2
2003/08|MAF|D|6
2003/08|MAF|IN|37
2003/08|MAF|M|29
2003/08|NIQ|*|1
2003/08|NIQ|D|55
2003/08|NIQ|IN|175
2003/08|NIQ|M|48
2003/08|NIQ|O|2
2003/09|MAF|D|3
2003/09|MAF|IN|50
2003/09|MAF|M|23
2003/09|NIQ|*|3
2003/09|NIQ|D|36
2003/09|NIQ|IN|183
2003/09|NIQ|M|43
2003/10|MAF|*|1
2003/10|MAF|D|3
2003/10|MAF|IN|47
2003/10|MAF|M|29
2003/10|MAF|O|1
2003/10|NIQ|*|3
2003/10|NIQ|D|55
2003/10|NIQ|IN|235
2003/10|NIQ|M|48
2003/10|NIQ|O|8
2003/11|MAF|D|5
2003/11|MAF|IN|50
2003/11|MAF|M|19
2003/11|MAF|O|2
2003/11|NIQ|*|2
2003/11|NIQ|D|41
2003/11|NIQ|IN|219
2003/11|NIQ|M|41
2003/11|NIQ|O|8
2003/12|MAF|D|7
2003/12|MAF|IN|47
2003/12|MAF|M|21
2003/12|NIQ|*|4
2003/12|NIQ|D|49
2003/12|NIQ|IN|211
2003/12|NIQ|M|42
2003/12|NIQ|O|2
2004/01|MAF|D|16
2004/01|MAF|IN|50
2004/01|MAF|M|30
2004/01|NIQ|*|1
2004/01|NIQ|D|22
2004/01|NIQ|IN|208
2004/01|NIQ|M|50
2004/02|MAF|D|3
2004/02|MAF|IN|51
2004/02|MAF|M|41
2004/02|NIQ|*|3
2004/02|NIQ|D|45
2004/02|NIQ|IN|143
2004/02|NIQ|M|43
2004/02|NIQ|O|2
2004/03|MAF|D|11
2004/03|MAF|IN|57
2004/03|MAF|M|41
2004/03|NIQ|D|101
2004/03|NIQ|IN|258
2004/03|NIQ|M|73
2004/03|NIQ|O|4
2004/04|MAF|D|4
2004/04|MAF|IN|26
2004/04|MAF|M|21
2004/04|NIQ|D|73
2004/04|NIQ|IN|238
2004/04|NIQ|M|98
2004/04|NIQ|O|2
2004/05|MAF|*|1
2004/05|MAF|D|4
2004/05|MAF|IN|34
2004/05|MAF|M|26
2004/05|MAF|O|1
2004/05|NIQ|*|1
2004/05|NIQ|D|86
2004/05|NIQ|IN|211
2004/05|NIQ|M|105
2004/05|NIQ|O|1
2004/06|MAF|D|4
2004/06|MAF|IN|35
2004/06|MAF|M|28
2004/06|NIQ|*|1
2004/06|NIQ|D|66
2004/06|NIQ|IN|256
2004/06|NIQ|M|89
2004/06|NIQ|O|1
2004/07|MAF|*|1
2004/07|MAF|D|4
2004/07|MAF|IN|48
2004/07|MAF|M|25
2004/07|MAF|O|1
2004/07|NIQ|*|2
2004/07|NIQ|D|31
2004/07|NIQ|IN|228
2004/07|NIQ|M|97
2004/07|NIQ|O|1
2004/08|MAF|D|1
2004/08|MAF|IN|42
2004/08|MAF|M|16
2004/08|NIQ|*|2
2004/08|NIQ|D|41
2004/08|NIQ|IN|207
2004/08|NIQ|M|134
2004/08|NIQ|O|2
2004/09|MAF|D|3
2004/09|MAF|IN|36
2004/09|MAF|M|17
2004/09|NIQ|*|1
2004/09|NIQ|D|46
2004/09|NIQ|IN|199
2004/09|NIQ|M|94
