MDR_REPORT_KEY|DATE_OF_EVENT|EVENT_TYPE|DEVICE_REPORT_PRODUCT_CODE
10135631|05/18/2020|M|NIQ
10135682|05/21/2020|IN|NIQ
10135706|04/16/2020|M|NIQ
10135740|05/01/2020|M|NIQ
10135772|05/21/2020|M|NIQ
10136947|06/06/2020|M|NIQ
10136991|04/17/2020|M|NIQ
10137392|04/11/2020|IN|NIQ
10137481|05/01/2020|M|NIQ
10137728|05/16/2020|IN|NIQ
10138172|06/03/2020|M|NIQ
10138175|05/17/2020|M|NIQ
10138221|06/03/2020|M|NIQ
10138599|05/01/2020|M|NIQ
10139318|05/18/2020|M|NIQ
10139538|05/29/2020|IN|NIQ
10139641|05/15/2020|M|NIQ
10139914|05/24/2020|IN|NIQ
10140071|05/12/2020|IN|NIQ
10140589|05/15/2020|M|NIQ
10140833|06/01/2020|M|NIQ
10142300|06/05/2020|M|NIQ
10142591|05/26/2020|M|NIQ
10142821|06/08/2020|M|NIQ
10142899|05/19/2020|IN|NIQ
10143004|02/01/2020|M|NIQ
10143654|05/25/2020|IN|MAF
10143699|12/03/2016|IN|PNY
10143700|05/05/2020|IN|NIQ
10143976|06/08/2020|M|NIQ
10144046|05/18/2020|IN|MAF
10144066|05/01/2020|M|NIQ
10144460|06/01/2020|M|NIQ
10144551|05/30/2020|M|NIQ
10144568|08/02/2019|M|NIQ
10144611|06/08/2020|M|MAF
10144741|05/07/2020|M|NIQ
10144752|06/04/2020|M|NIQ
10144821|01/08/2010|IN|NIQ
10144828|05/18/2020|IN|MAF
10144852|05/29/2016|IN|PNY
10145096|05/29/2016|IN|PNY
10145243|01/16/2020|M|NIQ
10145363|06/09/2020|M|NIQ
10145368|06/04/2020|M|NIQ
10145482|05/14/2020|M|NIQ
10145677|01/01/2015|IN|PNY
10145807|06/16/2016|IN|PNY
10145904|05/12/2020|IN|NIQ
10145936|06/16/2016|IN|PNY
10145986|09/23/2019|M|NIQ
10146102|05/21/2020|IN|MAF
10146239|06/04/2020|M|NIQ
10146240|05/20/2020|M|NIQ
10146328|01/01/2010|IN|NIQ
10146368|06/02/2020|M|NIQ
10146384|06/05/2020|M|NIQ
10146412|01/29/2016|IN|PNY
10146495|06/09/2017|IN|PNY
10146595|04/23/2016|IN|PNY
10146627|05/15/2020|IN|NIQ
10146638|12/11/2018|IN|PNY
10147799|01/06/2020|IN|NIQ
10148266|06/05/2017|IN|PNY
10148379|03/18/2020|IN|NIQ
10148455|05/18/2020|M|NIQ
10148521|05/19/2020|IN|NIQ
10148581|02/03/2019|IN|PNY
10148611|02/03/2019|IN|PNY
10148806|02/26/2020|IN|NIQ
10148870|02/28/2020|IN|NIQ
10148904|06/05/2017|IN|PNY
10149091|02/11/2020|IN|NIQ
10149141|02/22/2020|IN|NIQ
10150616|05/26/2020|M|NIQ
10150844|05/26/2020|M|NIQ
10150894|03/27/2020|IN|NIQ
10150955|06/10/2020|M|NIQ
10151143|02/10/2020|IN|NIQ
10151149|01/14/2020|IN|NIQ
10151154|01/17/2020|IN|NIQ
10151167|04/12/2020|IN|NIQ
10152175|03/06/2020|M|NIQ
10152832|04/30/2020|M|NIQ
10153118|03/24/2020|IN|NIQ
10153751|02/11/2020|IN|NIQ
10154112|02/20/2020|IN|NIQ
10154654|05/21/2020|M|NIQ
10154779|01/23/2020|M|NIQ
10154829|03/30/2020|M|NIQ
10154946|04/27/2020|M|NIQ
10154983|06/04/2020|M|NIQ
10155059|06/09/2020|M|NIQ
10155184|01/04/2020|IN|NIQ
10155354|05/20/2020|M|NIQ
10155356|05/21/2020|M|NIQ
10155365|05/21/2020|M|NIQ
10155382|06/10/2020|M|MAF
10155427|06/08/2020|M|NIQ
10155433|06/08/2020|M|NIQ
10155443|05/25/2020|M|NIQ
10155628|02/16/2020|IN|NIQ
10155639|06/10/2020|M|NIQ
10155832|03/22/2020|IN|NIQ
10155866|03/24/2020|IN|NIQ
10156096|05/27/2020|IN|NIQ
10156563|04/14/2020|M|NIQ
10157570|05/01/2020|M|NIQ
10158391|03/10/2020|M|NIQ
10158665|05/05/2020|M|NIQ
10158667|05/25/2020|M|NIQ
10158668|05/14/2020|M|NIQ
10158844|12/26/2018|IN|NIQ
10158876|04/07/2020|M|NIQ
10159013|03/01/2020|IN|NIQ
10159164|05/20/2020|M|NIQ
10159232|04/30/2020|M|NIQ
10159268|05/12/2020|IN|NIQ
10159301|05/22/2020|IN|NIQ
10159596|05/19/2020|IN|NIQ
10159762|05/26/2020|M|NIQ
10159999|05/20/2020|M|NIQ
10160000|06/10/2020|M|NIQ
10160001|05/21/2020|M|NIQ
10160059|05/25/2020|M|NIQ
10160107|06/10/2020|M|NIQ
10160218|06/01/2020|IN|NIQ
10160265|06/11/2020|M|NIQ
10160266|04/28/2020|M|NIQ
10160301|04/30/2020|IN|NIQ
10160523|06/11/2020|M|NIQ
10160886|06/03/2020|IN|NIQ
10161497|06/02/2020|M|NIQ
10161527|10/16/2019|IN|NIQ
10161532|10/16/2019|IN|NIQ
10161703|06/01/2020|M|NIQ
10161732|03/01/2020|IN|NIQ
10162439|06/05/2020|M|NIQ
10162541|05/26/2020|M|NIQ
10163110|01/14/2020|M|NIQ
10163187|06/02/2020|M|NIQ
10163227|06/11/2020|M|NIQ
10163493|04/14/2020|M|NIQ
10163502|05/23/2020|M|NIQ
10163514|05/25/2020|M|NIQ
10163631|04/06/2020|M|NIQ
10164230|05/01/2020|IN|NIQ
10165041|04/20/2020|M|NIQ
10165099|04/13/2020|M|NIQ
10165122|04/06/2020|M|NIQ
10165249|04/13/2020|M|NIQ
10165318|06/02/2020|IN|MAF
10165323|06/02/2020|IN|MAF
10165325|06/02/2020|IN|MAF
10165400|05/20/2020|IN|NIQ
10165600|04/27/2020|M|NIQ
10165683|06/04/2020|IN|NIQ
10165819|04/04/2020|IN|NIQ
10165841|06/03/2020|IN|NIQ
10165982|06/02/2020|M|NIQ
10166459|06/16/2020|M|NIQ
10166507|06/16/2020|M|NIQ
10166850|01/27/2020|IN|NIQ
10166854|01/27/2020|IN|NIQ
10166865|01/27/2020|IN|NIQ
10166894|01/27/2020|IN|NIQ
10166907|01/27/2020|IN|NIQ
10166945|01/27/2020|IN|NIQ
10167296|01/27/2020|M|NIQ
10167460|01/01/2018|IN|PNY
10168088|01/01/2018|IN|NIQ
10168726|06/08/2020|M|NIQ
